seg,idx,t,lat,lon,alt,heading,range_nm
coastal,0,0.0,34.4234216,-119.8544276,2500.0,356.0,15.0
coastal,1,0.067,34.4234649,-119.8544312,2500.0,356.043,15.0
coastal,2,0.133,34.4235082,-119.8544348,2500.0,356.086,15.0
coastal,3,0.2,34.4235515,-119.8544384,2500.0,356.128,15.0
coastal,4,0.267,34.4235949,-119.8544419,2500.0,356.171,15.0
coastal,5,0.333,34.4236382,-119.8544454,2500.0,356.214,15.0
coastal,6,0.4,34.4236815,-119.8544489,2500.0,356.257,15.0
coastal,7,0.467,34.4237248,-119.8544523,2500.0,356.299,15.0
coastal,8,0.533,34.4237682,-119.8544557,2500.0,356.342,15.0
coastal,9,0.6,34.4238115,-119.854459,2500.0,356.385,15.0
coastal,10,0.667,34.4238548,-119.8544623,2500.0,356.428,15.0
coastal,11,0.733,34.4238982,-119.8544656,2500.0,356.471,15.0
coastal,12,0.8,34.4239415,-119.8544688,2500.0,356.513,15.0
coastal,13,0.867,34.4239849,-119.854472,2500.0,356.556,15.0
coastal,14,0.933,34.4240282,-119.8544751,2500.0,356.599,15.0
coastal,15,1.0,34.4240716,-119.8544782,2500.0,356.642,15.0
coastal,16,1.067,34.4241149,-119.8544813,2500.0,356.684,15.0
coastal,17,1.133,34.4241583,-119.8544843,2500.0,356.727,15.0
coastal,18,1.2,34.4242016,-119.8544873,2500.0,356.77,15.0
coastal,19,1.267,34.424245,-119.8544902,2500.0,356.813,15.0
coastal,20,1.333,34.4242883,-119.8544931,2500.0,356.856,15.0
coastal,21,1.4,34.4243317,-119.854496,2500.0,356.898,15.0
coastal,22,1.467,34.424375,-119.8544988,2500.0,356.941,15.0
coastal,23,1.533,34.4244184,-119.8545016,2500.0,356.984,15.0
coastal,24,1.6,34.4244618,-119.8545044,2500.0,357.027,15.0
coastal,25,1.667,34.4245051,-119.8545071,2500.0,357.07,15.0
coastal,26,1.733,34.4245485,-119.8545097,2500.0,357.112,15.0
coastal,27,1.8,34.4245919,-119.8545124,2500.0,357.155,15.0
coastal,28,1.867,34.4246352,-119.854515,2500.0,357.198,15.0
coastal,29,1.933,34.4246786,-119.8545175,2500.0,357.241,15.0
coastal,30,2.0,34.424722,-119.8545201,2500.0,357.283,15.0
coastal,31,2.067,34.4247653,-119.8545225,2500.0,357.326,15.0
coastal,32,2.133,34.4248087,-119.854525,2500.0,357.369,15.0
coastal,33,2.2,34.4248521,-119.8545274,2500.0,357.412,15.0
coastal,34,2.267,34.4248955,-119.8545297,2500.0,357.455,15.0
coastal,35,2.333,34.4249389,-119.8545321,2500.0,357.497,15.0
coastal,36,2.4,34.4249822,-119.8545343,2500.0,357.54,15.0
coastal,37,2.467,34.4250256,-119.8545366,2500.0,357.583,15.0
coastal,38,2.533,34.425069,-119.8545388,2500.0,357.626,15.0
coastal,39,2.6,34.4251124,-119.854541,2500.0,357.668,15.0
coastal,40,2.667,34.4251558,-119.8545431,2500.0,357.711,15.0
coastal,41,2.733,34.4251992,-119.8545452,2500.0,357.754,15.0
coastal,42,2.8,34.4252426,-119.8545472,2500.0,357.797,15.0
coastal,43,2.867,34.425286,-119.8545492,2500.0,357.84,15.0
coastal,44,2.933,34.4253293,-119.8545512,2500.0,357.882,15.0
coastal,45,3.0,34.4253727,-119.8545531,2500.0,357.925,15.0
coastal,46,3.067,34.4254161,-119.854555,2500.0,357.968,15.0
coastal,47,3.133,34.4254595,-119.8545569,2500.0,358.011,15.0
coastal,48,3.2,34.4255029,-119.8545587,2500.0,358.053,15.0
coastal,49,3.267,34.4255463,-119.8545605,2500.0,358.096,15.0
coastal,50,3.333,34.4255897,-119.8545622,2500.0,358.139,15.0
coastal,51,3.4,34.4256331,-119.8545639,2500.0,358.182,15.0
coastal,52,3.467,34.4256765,-119.8545656,2500.0,358.225,15.0
coastal,53,3.533,34.4257199,-119.8545672,2500.0,358.267,15.0
coastal,54,3.6,34.4257633,-119.8545688,2500.0,358.31,15.0
coastal,55,3.667,34.4258067,-119.8545703,2500.0,358.353,15.0
coastal,56,3.733,34.4258501,-119.8545718,2500.0,358.396,15.0
coastal,57,3.8,34.4258935,-119.8545733,2500.0,358.439,15.0
coastal,58,3.867,34.425937,-119.8545747,2500.0,358.481,15.0
coastal,59,3.933,34.4259804,-119.8545761,2500.0,358.524,15.0
coastal,60,4.0,34.4260238,-119.8545774,2500.0,358.567,15.0
coastal,61,4.067,34.4260672,-119.8545787,2500.0,358.61,15.0
coastal,62,4.133,34.4261106,-119.85458,2500.0,358.652,15.0
coastal,63,4.2,34.426154,-119.8545812,2500.0,358.695,15.0
coastal,64,4.267,34.4261974,-119.8545824,2500.0,358.738,15.0
coastal,65,4.333,34.4262408,-119.8545836,2500.0,358.781,15.0
coastal,66,4.4,34.4262842,-119.8545847,2500.0,358.824,15.0
coastal,67,4.467,34.4263277,-119.8545858,2500.0,358.866,15.0
